date;air_district1;avg_temp;rain_amount;sunshine_hours;wind_speed;snowfall
1.01.2016;Fukuoka-ken;7.3;0;6.6;2.1;0
2.01.2016;Fukuoka-ken;11.6;0;0.6;2.2;0
3.01.2016;Fukuoka-ken;11.6;1;1.4;1.3;0
4.01.2016;Fukuoka-ken;11;0;6.7;1.8;0
5.01.2016;Fukuoka-ken;9.9;1;0;1.5;0
6.01.2016;Fukuoka-ken;9.5;0;0;1.4;0
7.01.2016;Fukuoka-ken;9.1;0;0.4;3.6;0
8.01.2016;Fukuoka-ken;7.5;0;0;3.8;0
9.01.2016;Fukuoka-ken;7.9;0;0.2;2.4;0
10.01.2016;Fukuoka-ken;7.9;0;3.8;2;0
11.01.2016;Fukuoka-ken;8.3;0;1;2.3;0
12.01.2016;Fukuoka-ken;7.5;1;0.4;2.2;0
13.01.2016;Fukuoka-ken;5.8;2;1;3.2;0
14.01.2016;Fukuoka-ken;6.7;0;1.7;3.4;0
15.01.2016;Fukuoka-ken;5.8;0;9;1.7;0
16.01.2016;Fukuoka-ken;7.5;0;7.8;1.9;0
17.01.2016;Fukuoka-ken;7.1;25.5;0;1.8;0
18.01.2016;Fukuoka-ken;6.7;9;2.2;5.3;0
19.01.2016;Fukuoka-ken;2.3;3;0.1;6.6;0
20.01.2016;Fukuoka-ken;2.7;0;2.2;3.3;0
21.01.2016;Fukuoka-ken;2.8;0;0.1;2.1;0
22.01.2016;Fukuoka-ken;5.8;2;1;2.3;0
23.01.2016;Fukuoka-ken;3.5;7;0;3.3;0
24.01.2016;Fukuoka-ken;-2;1;0;6.3;3
25.01.2016;Fukuoka-ken;1.2;0;0.1;2.8;0
26.01.2016;Fukuoka-ken;4.4;1;0.2;1.9;0
27.01.2016;Fukuoka-ken;6.6;0;0.2;1.6;0
28.01.2016;Fukuoka-ken;8.3;6;0;1.4;0
29.01.2016;Fukuoka-ken;11;31;0;2.1;0
30.01.2016;Fukuoka-ken;10.8;1;7.2;3.5;0
31.01.2016;Fukuoka-ken;9.5;0.5;5.4;2.1;0
1.02.2016;Fukuoka-ken;7.3;0.5;0.1;2.2;0
2.02.2016;Fukuoka-ken;6.3;0;2.5;2.7;0
3.02.2016;Fukuoka-ken;6.8;2;2.9;2.4;0
4.02.2016;Fukuoka-ken;6.4;0;6.5;2.3;0
5.02.2016;Fukuoka-ken;6.5;0;3.5;1.9;0
6.02.2016;Fukuoka-ken;6.1;0;0.7;3.7;0
7.02.2016;Fukuoka-ken;4.6;2.5;0.8;1.7;0
